,ACRES,ET VOLUME (acft),PRZ VOLUME (acft),CU VOLUME (acft),AW VOLUME (acft),Total TID Supply (AF),Conveyance Loss Estimate (AF),Conveyance Loss %
1984-11-01,4518.272909556,8581.813578801259,2215.1772958144334,6366.636282986826,8439.060044000084,63633.8199158,55194.75987179992,86.73808981581396
1985-11-01,4370.904212134,8806.524889718326,2034.9344842452215,6771.590405473105,8996.271315097098,69595.64448,60599.3731649029,87.07351389255055
1986-11-01,4139.058477055,8206.617422170162,2687.870673528301,5518.746748641863,7284.484279938151,68548.0205772,61263.536297261846,89.37316611245653
1987-11-01,4116.863165621,8624.530877712843,2153.523856523546,6471.007021189296,8508.252992009695,61299.8428646,52791.5898725903,86.12026949106077
1988-11-01,4488.786610953,8672.694154734705,2865.1490728024437,5807.545081932261,7663.9372502095885,67244.1138078,59580.176557590414,88.60281321854434
1989-11-01,4486.473710166,8968.492222717856,2525.114752270609,6443.377470447247,8512.129689978006,70152.4215366,61640.29184662199,87.86623540067387
1990-11-01,4617.336865736,10123.137442877203,3362.4208464982607,6760.716596378943,8928.204492651575,54979.2897248,46051.08523214843,83.76078603899415
1991-11-01,3263.246111218,6994.7350781374835,2175.4858890353034,4819.249189102181,6363.8245246055085,45541.927541,39178.10301639449,86.02644888300709
1992-11-01,4269.72074977,7499.100171389876,3375.454984170706,4123.645187219169,5450.48957775647,65793.05810792,60342.56853016353,91.71570719692636
1993-11-01,3763.198636041,7135.815964105532,1894.215195346078,5241.600768759454,6861.245953983519,45185.896471,38324.65051701648,84.81551437540467
1994-11-01,3980.184196156,7707.020106687976,3073.572761633685,4633.447345054292,6131.579018433998,55822.9147666,49691.335748166,89.01601780546463
1995-11-01,4274.1062819,8488.902552130816,2336.726416919937,6152.17613521088,8152.011153418687,71821.6022996,63669.591146181316,88.64963897712418
1996-11-01,4968.451479892,10390.522111680108,3603.9822996703815,6786.539812009725,8975.098592257562,71650.608213,62675.509620742436,87.47379985166803
1997-11-01,4842.989142686,10346.61922723874,4280.610483164391,6066.008744074349,8012.883846525324,54556.909150444204,46544.02530391888,85.31279727663956
1998-11-01,4769.129136717,9323.836162998394,2884.588670883883,6439.24749211451,8494.805665680178,59725.320614409335,51230.51494872916,85.77687724688292
1999-11-01,5000.43508323,10510.500278793967,2031.7709717752805,8478.729307018686,11233.563595517291,58315.310767999996,47081.747172482705,80.73651079352284
2000-11-01,5139.927678331,11711.382491429784,2621.627867164997,9089.754624264786,12015.916816260235,54708.4085926,42692.49177633976,78.03643511961789
2001-11-01,4861.997755033,10158.631353742856,1663.483068769513,8495.148284973342,11222.73349943404,52328.4152694,41105.68176996596,78.55327083448533
2002-11-01,4751.337210385,9924.86643848993,2624.085942694329,7300.7804957956005,9689.284777218698,47914.5820622,38225.2972849813,79.7780041895375
2003-11-01,4711.814747974,9834.76650995195,3399.8004765249,6434.966033427051,8506.427500208656,52484.1565486,43977.729048391346,83.79238981895088
2004-11-01,4610.076237144,9953.288310180487,3496.5941585855417,6456.694151594945,8505.830862156483,45670.8326064,37165.00174424352,81.37579199516382
2005-11-01,4465.816581684,9405.428746030324,2639.6705754963878,6765.758170533935,8913.166257032735,47218.86597504563,38305.6997180129,81.12371808814048
2006-11-01,4678.63831762,9793.583366219373,2736.483799825756,7057.099566393616,9293.775708683694,52593.409133966554,43299.63342528285,82.32901068456984
2007-11-01,4632.301903655,9557.829858133764,1961.619104975477,7596.210753158287,9989.929616229905,50355.05373970949,40365.12412347958,80.16101885648084
2008-11-01,4802.630507835,10303.070240996902,3373.8536477805,6929.216593216401,9106.994161286915,51391.250254,42284.25609271308,82.27909592338031
2009-11-01,4858.0662615989995,9518.062334392323,3217.1562601282576,6300.906074264066,8271.969693096253,48154.26247979484,39882.292786698585,82.8219366944575
2010-11-01,4691.991843442,8797.206007926492,2503.9728939332053,6293.233113993286,8258.517794979989,50134.86529723415,41876.34750225416,83.52739606256488
2011-11-01,4256.450668778,8580.684706453558,2756.743068565412,5823.941637888145,7603.190384083545,54256.77077674369,46653.580392660144,85.98665148103039
2012-11-01,4939.531973432,9458.125577135559,2879.4171049991514,6578.708472136408,8626.200605146094,63385.7151174298,54759.514512283706,86.39093904807258
2013-11-01,5163.560752014,11281.441963267222,3128.4682756644665,8152.973687602755,10707.373767243871,64373.05448550549,53665.68071826162,83.36668369580818
2014-11-01,5354.608458606,11750.975378285722,3154.0109213629316,8596.964456922791,11299.616026410178,53209.2551171871,41909.639090776924,78.7638146756159
2015-11-01,5050.2980692109995,10292.128443598738,3139.2430841711225,7152.885359427614,9386.783769767771,52862.63388900912,43475.85011924135,82.24306456338073
2016-11-01,5190.137503331,10633.369645005085,3425.8024100380976,7207.567234966986,9482.79447763167,49237.88494644491,39755.09046881324,80.74085739477657
2017-11-01,5050.36228812,10845.518488121892,2385.2969862814684,8460.221501840424,11094.413410294956,43490.38779152728,32395.974381232325,74.48996439517526
2018-11-01,5108.927627578,9932.359907186401,4419.907628749097,5512.452278437303,7215.531655665879,47961.0743646,40745.54270893412,84.95544198861472
2019-11-01,5193.336927945,10965.06447701654,2251.952730386911,8713.11174662963,11438.912917272934,43669.3231204,32230.410203127067,73.80560975095747
2020-11-01,5233.418585406,11211.040421564661,2523.245467912368,8687.794953652292,11398.874760718905,35186.3622194,23787.487458681095,67.60428176791139
2021-11-01,5027.784725323,10500.207339061586,3248.84376581972,7251.363573241866,9523.110470083297,35254.1568822,25731.046412116702,72.98726926897076
2022-11-01,4480.1531259,9506.541862473756,2616.9677925042597,6889.574069969496,9030.168161189411,31732.0476218,22701.87946061059,71.54243473722238
